City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country,Hotel Name
1633419,Padang,-0.9492,100.3543,298.12,87,34,1.37,1653079598,ID,Hotel Hangtuah
3985710,Cabo San Lucas,22.8909,-109.9124,302.93,58,1,6.93,1653079333,MX,Los Arcos
2268339,Faro,37.0194,-7.9322,299.03,47,0,9.26,1653079599,PT,Cardeal Suites & Apartments
2455216,Kita,13.0349,-9.4895,307.81,25,80,1.71,1653079600,ML,Hôtel Chat Rouge
935214,Saint-Pierre,-21.3393,55.4781,296.43,73,75,3.09,1653079601,RE,Hôtel Le Saint-Pierre
1282256,Hithadhoo,-0.6,73.0833,301.46,73,65,4.12,1653079603,MV,Abuharee Grand
1736660,Kota Belud,6.351,116.4305,298.14,88,81,2.38,1653079604,MY,OYO 90232 Mountain View Guest House
5114900,Depew,42.904,-78.6923,297.1,67,75,6.17,1653079604,US,The Delavan Hotel
102527,Sakakah,29.9697,40.2064,303.91,19,31,4.1,1653079605,SA,Nebras Hotel Apartment
1721720,Cabatuan,10.8794,122.486,298.03,90,100,1.84,1653079666,PH,Iloilo Gateway Hotel
1636308,Manokwari,-0.8667,134.0833,298.64,81,17,1.3,1653079666,ID,Mangga Hotel
2425791,Kibala,9.1104,18.3463,298.12,69,20,2.06,1653079667,TD,hotel safari
3470137,Belmonte,-15.8631,-38.8828,294.59,59,60,4.02,1653079667,BR,Pousada Belmonte
3922125,Capinota,-17.7167,-66.2333,299.82,11,8,2.13,1653079668,BO,Hacienda De Kaluyo
1215502,Banda Aceh,5.5577,95.3222,300.03,80,100,4.6,1653079669,ID,Hotel GM Inn
210379,Lusambo,-4.9667,23.45,298.05,61,100,0.54,1653079671,CD,No Hotel nearby
2338242,Ikom,5.9667,8.7063,297.93,93,100,1.34,1653079671,NG,Jorany Hotel Resort Ikom
4513583,Hamilton,39.1834,-84.5333,304.94,52,0,9.26,1653079501,US,Graduate Cincinnati
3892454,Diego de Almagro,-26.3667,-70.05,296.03,20,15,3.62,1653079673,CL,Hotel Sol Del Desierto
1274822,Chāmpua,22.0833,85.6667,300.57,73,16,4.34,1653079675,IN,ANSARI COTTAGE
6254930,Palestine,31.9216,35.2033,294.78,34,76,2.4,1653079676,PS,Dan Jerusalem Hotel
1177446,Gwadar,25.1216,62.3254,301.38,88,0,3.17,1653079423,PK,Al Salam Hotel and Guest house
362973,Abnūb,27.2696,31.1511,301.27,39,98,9.59,1653079679,EG,نادي و فندق القوات المسلحة
2138555,Poum,-20.2333,164.0167,298.46,83,0,4.75,1653079679,NC,Kejaon
5847411,Kahului,20.8947,-156.47,302.16,68,40,6.69,1653079680,US,Maui Seaside Hotel
5367788,Lompoc,34.6391,-120.4579,296.92,60,0,7.72,1653079681,US,Lompoc Motel
1728675,Balabac,7.9868,117.0645,300.16,82,84,3.9,1653079681,PH,Batalla’s Lodging House
3654541,Macas,-2.3167,-78.1167,296.01,78,75,3.09,1653079681,EC,Casa Upano
86049,Jalu,29.0331,21.5482,294.3,31,0,9.35,1653079682,LY,Jalu Hotel
5380437,Pacific Grove,36.6177,-121.9166,296.49,65,0,5.66,1653079683,US,Pacific Grove Inn
2294915,Takoradze,4.8845,-1.7554,299.42,84,100,5.17,1653079684,GH,Hillcrest Hotels and Apartment
1328421,Pathein,16.7833,94.7333,298.77,88,100,5.71,1653079686,MM,Sein Pyae Hlyan
1254046,Tura,25.5198,90.2201,295.19,97,92,0.8,1653079687,IN,Hotel RIKMAN Continental
1648082,Boyolangu,-8.1181,111.8935,296.95,91,100,0.96,1653079687,ID,Capital O 90693 Orchid Hotel
1688696,San Policarpo,12.1791,125.5072,300.13,81,100,3.62,1653079687,PH,Manong Aklan Resort
